站次,站名_链接,站名,到达时间,开车时间,停留,天数,运行时间,里程,二等_一等座,硬卧上_中_下,软卧上_下
1,http://shike.gaotie.cn/zhan.asp?zhan=%B1%B1%BE%A9,北京站,始发站,18:07,0分钟,1,0分,0,/,//,"
/
"
2,http://shike.gaotie.cn/zhan.asp?zhan=%CC%C6%C9%BD%B1%B1,唐山北站,19:18,19:20,2分钟,1,1小时11分,151,/,//,"
/
"
3,http://shike.gaotie.cn/zhan.asp?zhan=%B1%B1%B4%F7%BA%D3,北戴河站,20:16,20:18,2分钟,1,2小时9分,277,/,//,"
/
"
4,http://shike.gaotie.cn/zhan.asp?zhan=%C9%F2%D1%F4,沈阳站,23:23,23:28,5分钟,1,5小时16分,703,/,//,"
/
"
5,http://shike.gaotie.cn/zhan.asp?zhan=%C9%F2%D1%F4%C4%CF,沈阳南站,23:40,终点站,0分钟,1,5小时33分,718,/,//,"
/
"
1,http://shike.gaotie.cn/zhan.asp?zhan=%C9%F2%D1%F4%C4%CF,沈阳南站,始发站,08:54,0分钟,1,0分,0,/,//,"
/
"
2,http://shike.gaotie.cn/zhan.asp?zhan=%C9%F2%D1%F4,沈阳站,09:06,09:11,5分钟,1,12分,15,/,//,"
/
"
3,http://shike.gaotie.cn/zhan.asp?zhan=%C1%C9%D6%D0,辽中站,09:43,09:44,1分钟,1,49分,83,/,//,"
/
"
4,http://shike.gaotie.cn/zhan.asp?zhan=%BD%F5%D6%DD%C4%CF,锦州南站,10:35,10:36,1分钟,1,1小时41分,238,/,//,"
/
"
5,http://shike.gaotie.cn/zhan.asp?zhan=%CC%C6%C9%BD%B1%B1,唐山北站,12:55,12:57,2分钟,1,4小时1分,567,/,//,"
/
"
6,http://shike.gaotie.cn/zhan.asp?zhan=%B1%B1%BE%A9,北京站,14:08,终点站,0分钟,1,5小时14分,718,/,//,"
/
"
1,http://shike.gaotie.cn/zhan.asp?zhan=%B1%B1%BE%A9,北京站,始发站,18:16,0分钟,1,0分,0,/,//,"
/
"
2,http://shike.gaotie.cn/zhan.asp?zhan=%BC%BB%D6%DD,蓟州站,18:58,19:00,2分钟,1,42分,83,/,//,"
/
"
3,http://shike.gaotie.cn/zhan.asp?zhan=%B1%B1%B4%F7%BA%D3,北戴河站,20:22,20:24,2分钟,1,2小时6分,277,/,//,"
/
"
4,http://shike.gaotie.cn/zhan.asp?zhan=%BA%F9%C2%AB%B5%BA%B1%B1,葫芦岛北站,21:36,21:37,1分钟,1,3小时20分,299,/,//,"
/
"
5,http://shike.gaotie.cn/zhan.asp?zhan=%BD%F5%D6%DD%C4%CF,锦州南站,21:57,21:58,1分钟,1,3小时41分,480,/,//,"
/
"
6,http://shike.gaotie.cn/zhan.asp?zhan=%C5%CC%BD%F5%B1%B1,盘锦北站,22:27,22:28,1分钟,1,4小时11分,549,/,//,"
/
"
7,http://shike.gaotie.cn/zhan.asp?zhan=%C9%F2%D1%F4,沈阳站,23:35,23:40,5分钟,1,5小时19分,703,/,//,"
/
"
8,http://shike.gaotie.cn/zhan.asp?zhan=%C9%F2%D1%F4%C4%CF,沈阳南站,23:51,终点站,0分钟,1,5小时35分,718,/,//,"
/
"
1,http://shike.gaotie.cn/zhan.asp?zhan=%C9%F2%D1%F4%C4%CF,沈阳南站,始发站,07:29,0分钟,1,0分,0,/,//,"
/
"
